id,upload_id,property_id,row_labels,total,created_at,updated_at,raw
252,58,978,"122 SHURTLEFF ST",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":252,""upload_id"":58,""property_id"":978,""row_labels"":""122 SHURTLEFF ST"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
255,58,994,"123 MARLBORO ST",5,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":255,""upload_id"":58,""property_id"":994,""row_labels"":""123 MARLBORO ST"",""total"":5,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
259,58,17302,"124 #3 CHESTNUT ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":259,""upload_id"":58,""property_id"":17302,""row_labels"":""124 #3 CHESTNUT ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
262,58,1026,"124 FRANKLIN AV",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":262,""upload_id"":58,""property_id"":1026,""row_labels"":""124 FRANKLIN AV"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
266,58,1034,"125 CENTRAL AV",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":266,""upload_id"":58,""property_id"":1034,""row_labels"":""125 CENTRAL AV"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
269,58,1040,"125 MARLBORO ST",18,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":269,""upload_id"":58,""property_id"":1040,""row_labels"":""125 MARLBORO ST"",""total"":18,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
272,58,1045,"126 ASH ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":272,""upload_id"":58,""property_id"":1045,""row_labels"":""126 ASH ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
276,58,1052,"126 LIBRARY ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":276,""upload_id"":58,""property_id"":1052,""row_labels"":""126 LIBRARY ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
279,58,1060,"126 WILLIAMS ST",15,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":279,""upload_id"":58,""property_id"":1060,""row_labels"":""126 WILLIAMS ST"",""total"":15,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
283,58,1066,"127 HEARD ST",6,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":283,""upload_id"":58,""property_id"":1066,""row_labels"":""127 HEARD ST"",""total"":6,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
286,58,1071,"128 ASH ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":286,""upload_id"":58,""property_id"":1071,""row_labels"":""128 ASH ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
289,58,1073,"128 EASTERN AV",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":289,""upload_id"":58,""property_id"":1073,""row_labels"":""128 EASTERN AV"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
293,58,1080,"128 SHAWMUT ST",8,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":293,""upload_id"":58,""property_id"":1080,""row_labels"":""128 SHAWMUT ST"",""total"":8,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
296,58,1082,"129 ADDISON ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":296,""upload_id"":58,""property_id"":1082,""row_labels"":""129 ADDISON ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
299,58,1106,"13 CHEEVER ST",7,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":299,""upload_id"":58,""property_id"":1106,""row_labels"":""13 CHEEVER ST"",""total"":7,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
302,58,6002,"13 MEDFORD ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":302,""upload_id"":58,""property_id"":6002,""row_labels"":""13 MEDFORD ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
306,58,1134,"130 CRESCENT AV",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":306,""upload_id"":58,""property_id"":1134,""row_labels"":""130 CRESCENT AV"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
309,58,1138,"130 HAWTHORN ST",5,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":309,""upload_id"":58,""property_id"":1138,""row_labels"":""130 HAWTHORN ST"",""total"":5,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
313,58,1146,"130A COTTAGE ST",6,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":313,""upload_id"":58,""property_id"":1146,""row_labels"":""130A COTTAGE ST"",""total"":6,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
319,58,17304,"131-131 BEACON ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":319,""upload_id"":58,""property_id"":17304,""row_labels"":""131-131 BEACON ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
322,58,1172,"132 WEBSTER AV",7,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":322,""upload_id"":58,""property_id"":1172,""row_labels"":""132 WEBSTER AV"",""total"":7,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
